oke-public-cloud-provider-oci                     , v1.28-93003cd8515-11
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-94e5f680ebe-3
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-94e5f680ebe-3
oke-public-cloud-provider-oci                     , v1.28-94e5f680ebe-3
oke-public-cloud-provider-oci-linux_x86_64        , v1.25-e402eabbe0a-25
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.25-e402eabbe0a-25
oke-public-cloud-provider-oci                     , v1.25-e402eabbe0a-25
oke-public-cloud-provider-oci-linux_x86_64        , v1.26-d5c95b4f813-25
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.26-d5c95b4f813-25
oke-public-cloud-provider-oci                     , v1.26-d5c95b4f813-25
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci                     , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci                     , oke-1.25-4e24935-224
oke-public-cloud-provider-oci-arm                 , oke-1.25-4e24935-224
oke-public-cloud-provider-oci                     , oke-multiarch-1.25-4e24935-224
oke-public-cloud-provider-oci                     , oke-1.26-29cfa15-158
oke-public-cloud-provider-oci-arm                 , oke-1.26-29cfa15-158
oke-public-cloud-provider-oci                     , oke-multiarch-1.26-29cfa15-158
oke-public-cloud-provider-oci                     , oke-1.27-bc782af-23
oke-public-cloud-provider-oci-arm                 , oke-1.27-bc782af-23
oke-public-cloud-provider-oci                     , oke-multiarch-1.27-bc782af-23
oke-public-cloud-provider-oci                     , oke-1.25-a5065bf-341
oke-public-cloud-provider-oci-arm                 , oke-1.25-a5065bf-341
oke-public-cloud-provider-oci                     , oke-multiarch-1.25-a5065bf-341
oke-public-cloud-provider-oci                     , oke-1.27-59312aa-46
oke-public-cloud-provider-oci-arm                 , oke-1.27-59312aa-46
oke-public-cloud-provider-oci                     , oke-multiarch-1.27-59312aa-46
oke-public-cloud-provider-oci-linux_x86_64        , v1.25-6a4968a0935-29
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.25-6a4968a0935-29
oke-public-cloud-provider-oci                     , v1.25-6a4968a0935-29
oke-public-cloud-provider-oci-linux_x86_64        , v1.26-0685e05229e-33
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.26-0685e05229e-33
oke-public-cloud-provider-oci                     , v1.26-0685e05229e-33
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-316b0447925-29
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-316b0447925-29
oke-public-cloud-provider-oci                     , v1.27-316b0447925-29
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-51d751ef18e-24
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-51d751ef18e-24
oke-public-cloud-provider-oci                     , v1.28-51d751ef18e-24
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-8b155b26267-10
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-8b155b26267-10
oke-public-cloud-provider-oci                     , v1.29-8b155b26267-10
oke-public-cloud-provider-oci-linux_x86_64        , v1.25-756ad2ecbcd-31
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.25-756ad2ecbcd-31
oke-public-cloud-provider-oci                     , v1.25-756ad2ecbcd-31
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci                     , v1.27-ff66a5f1ae0-24
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-5f2e34f4a04-16
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-5f2e34f4a04-16
oke-public-cloud-provider-oci                     , v1.28-5f2e34f4a04-16
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-eaf7462813a-5
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-eaf7462813a-5
oke-public-cloud-provider-oci                     , v1.29-eaf7462813a-5
oke-public-cloud-provider-oci-linux_x86_64        , v1.26-046c0c74dc9-35
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.26-046c0c74dc9-35
oke-public-cloud-provider-oci                     , v1.26-046c0c74dc9-35
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-88f1aaae3b3-33
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-88f1aaae3b3-33
oke-public-cloud-provider-oci                     , v1.27-88f1aaae3b3-33
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-82f08e51cb0-27
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-82f08e51cb0-27
oke-public-cloud-provider-oci                     , v1.28-82f08e51cb0-27
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-b4676b971bb-13
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-b4676b971bb-13
oke-public-cloud-provider-oci                     , v1.29-b4676b971bb-13
oke-public-cloud-provider-oci                     , oke-1.19-73d694a-238
oke-public-cloud-provider-oci-arm                 , oke-1.19-73d694a-238
oke-public-cloud-provider-oci                     , oke-1.23-4c65264-146
oke-public-cloud-provider-oci-arm                 , oke-1.23-4c65264-146
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-1d94a946745-2
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-1d94a946745-2
oke-public-cloud-provider-oci                     , v1.27-1d94a946745-2
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-3f6172ed2bd-2
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-3f6172ed2bd-2
oke-public-cloud-provider-oci                     , v1.28-3f6172ed2bd-2
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-0391787a442-2
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-0391787a442-2
oke-public-cloud-provider-oci                     , v1.29-0391787a442-2
oke-public-cloud-provider-oci-linux_x86_64        , v1.30-28240e5024c-2
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.30-28240e5024c-2
oke-public-cloud-provider-oci                     , v1.30-28240e5024c-2
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-15e83bc2e93-43
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-15e83bc2e93-43
oke-public-cloud-provider-oci                     , v1.27-15e83bc2e93-43
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-01f1956dc37-38
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-01f1956dc37-38
oke-public-cloud-provider-oci                     , v1.28-01f1956dc37-38
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-0fec189c831-24
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-0fec189c831-24
oke-public-cloud-provider-oci                     , v1.29-0fec189c831-24
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-aa6a9328864-47
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-aa6a9328864-47
oke-public-cloud-provider-oci                     , v1.27-aa6a9328864-47
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-82bdd7005cb-46
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-82bdd7005cb-46
oke-public-cloud-provider-oci                     , v1.28-82bdd7005cb-46
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-8201e7fcfe2-35
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-8201e7fcfe2-35
oke-public-cloud-provider-oci                     , v1.29-8201e7fcfe2-35
oke-public-cloud-provider-oci-linux_x86_64        , v1.30-817f8813c94-16
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.30-817f8813c94-16
oke-public-cloud-provider-oci                     , v1.30-817f8813c94-16
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-a57505e55b4-52
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-a57505e55b4-52
oke-public-cloud-provider-oci                     , v1.28-a57505e55b4-52
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-a98a9008bb3-45
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-a98a9008bb3-45
oke-public-cloud-provider-oci                     , v1.29-a98a9008bb3-45
oke-public-cloud-provider-oci-linux_x86_64        , v1.30-8d91e760223-29
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.30-8d91e760223-29
oke-public-cloud-provider-oci                     , v1.30-8d91e760223-29
oke-public-cloud-provider-oci-linux_x86_64        , v1.27-bee79702e78-3786
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.27-bee79702e78-3786
oke-public-cloud-provider-oci                     , v1.27-bee79702e78-3786
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-af877866952-3787
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-af877866952-3787
oke-public-cloud-provider-oci                     , v1.28-af877866952-3787
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-cc407e27df8-3788
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-cc407e27df8-3788
oke-public-cloud-provider-oci                     , v1.29-cc407e27df8-3788
oke-public-cloud-provider-oci-linux_x86_64        , v1.30-a171403002c-3785
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.30-a171403002c-3785
oke-public-cloud-provider-oci                     , v1.30-a171403002c-3785
oke-public-cloud-provider-oci-linux_x86_64        , v1.28-4fd3baa095d-43
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.28-4fd3baa095d-43
oke-public-cloud-provider-oci                     , v1.28-4fd3baa095d-43
oke-public-cloud-provider-oci-linux_x86_64        , v1.29-3e680bb14b5-29
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.29-3e680bb14b5-29
oke-public-cloud-provider-oci                     , v1.29-3e680bb14b5-29
oke-public-cloud-provider-oci-linux_x86_64        , v1.30-cdc99090ccd-12
oke-public-cloud-provider-oci-linux_arm64_v8      , v1.30-cdc99090ccd-12
oke-public-cloud-provider-oci                     , v1.30-cdc99090ccd-12
